Ciclo,Peor aptitud,Aptitud promedio,Mejor aptitud,Diversidad
0,43,"54,047",65,"0,994"
1,48,"57,695",66,"0,979"
2,49,"60,837",72,"0,947"
3,53,"63,758",72,"0,897"
4,59,"66,405",74,"0,845"
5,60,"68,889",78,"0,787"
6,65,"71,411",78,"0,715"
7,67,"73,611",79,"0,625"
8,70,"75,311",83,"0,511"
9,72,"76,847",83,"0,38"
10,74,"78,195",83,"0,304"
11,75,"79,516",84,"0,219"
12,76,"80,837",84,"0,189"
13,79,"81,695",84,"0,134"
14,81,"82,379",84,"0,091"
15,81,"82,921",85,"0,077"
16,82,"83,489",85,"0,07"
17,83,"83,947",85,"0,059"
18,83,"84,305",86,"0,049"
19,83,"84,721",86,"0,044"
20,84,"85,105",86,"0,043"
21,83,"85,426",87,"0,037"
22,84,"85,858",87,"0,035"
23,85,"86,053",88,"0,033"
24,86,"86,326",88,"0,034"
25,85,"86,695",89,"0,036"
26,85,"87,221",89,"0,039"
27,86,"87,8",89,"0,038"
28,87,"88,311",89,"0,029"
29,87,"88,742",90,"0,022"
30,88,"88,989",90,"0,01"
31,88,"89,026",90,"0,001"
32,89,"89,174",90,"0,002"
33,88,"89,453",90,"0,006"
34,89,"89,832",90,"0,011"
35,90,"90,005",91,"0,006"
36,89,"89,989",90,0
37,89,"89,989",90,0
38,89,"89,979",90,0
39,89,"89,995",90,"0,001"
40,89,"89,989",90,0
41,89,"89,984",90,0
42,89,"89,984",90,"0,001"
43,89,"89,984",90,"0,001"
44,90,90,90,"0,001"
45,89,"89,995",90,0
46,89,"89,984",90,0
47,89,"89,989",90,"0,001"
48,89,"89,989",90,0
49,89,"89,989",90,0
50,89,"89,989",90,0
51,89,"89,995",90,0
52,89,"89,995",90,0
53,89,"89,989",90,0
54,89,"89,984",90,0
55,90,"90,005",91,"0,001"
56,90,"90,026",91,0
57,89,"90,047",91,"0,001"
58,89,"90,179",91,"0,003"
59,90,"90,411",92,"0,007"
60,90,"90,763",92,"0,012"
61,90,"91,1",92,"0,014"
62,90,"91,295",92,"0,013"
63,91,"91,616",92,"0,016"
64,91,"91,905",92,"0,012"
65,91,"91,989",92,"0,004"
66,91,92,93,"0,001"
67,91,"91,995",93,0
68,92,"92,011",93,"0,001"
69,91,"92,026",93,0
70,91,"92,132",93,"0,002"
71,91,"92,326",93,"0,006"
72,92,"92,705",93,"0,01"
73,92,"92,989",93,"0,011"
74,92,"92,995",94,"0,003"
75,93,"93,005",94,"0,003"
76,92,"93,021",94,"0,001"
77,93,"93,063",94,"0,002"
78,92,"93,195",94,"0,002"
79,92,"93,479",94,"0,007"
80,93,"93,826",94,"0,01"
81,93,"93,989",94,"0,006"
82,94,94,94,0
83,94,94,94,0
84,94,94,94,0
85,93,94,95,0
86,93,"93,995",95,0
87,93,"94,032",95,"0,001"
88,93,"94,121",95,"0,002"
89,93,"94,337",95,"0,005"
90,93,"94,742",95,"0,009"
91,94,"94,979",95,"0,008"
92,95,95,95,"0,001"
93,94,"94,995",95,0
94,94,"94,989",95,0
95,94,"94,989",95,0
96,94,"94,989",95,0
97,94,"94,989",95,0
98,94,"94,995",95,0
99,94,"94,995",95,0
100,94,"94,984",95,0
101,94,"94,989",95,"0,001"
102,95,95,95,0
103,95,95,95,0
104,94,"94,995",95,0
105,94,"94,995",95,0
106,94,"94,995",95,0
107,94,"94,995",95,0
108,95,95,95,0
109,94,"94,989",95,0
110,95,95,95,0
111,94,"94,968",95,0
112,94,"94,979",95,"0,001"
113,94,"94,989",95,"0,001"
114,94,"94,989",95,0
115,95,95,95,0
116,94,"94,995",95,0
117,94,"94,989",95,0
118,94,"94,995",95,0
119,94,"94,984",95,0
120,94,"94,995",95,"0,001"
121,94,"94,989",95,0
122,94,"94,989",95,0
123,94,"94,995",96,0
124,95,"95,016",96,"0,001"
125,95,"95,084",96,"0,001"
126,94,"95,268",96,"0,003"
127,95,"95,579",96,"0,008"
128,95,"95,889",96,"0,01"
129,95,"95,984",96,"0,004"
130,95,"95,995",96,"0,001"
131,95,"95,984",96,0
132,94,"95,979",96,"0,001"
133,96,96,96,"0,001"
134,95,"95,995",96,0
135,96,96,96,0
136,95,"95,995",96,0
137,95,"95,989",96,0
138,95,"95,995",96,0
139,96,96,96,0
140,95,"95,995",96,0
141,95,"95,995",96,0
142,95,"95,995",97,0
143,95,"96,011",97,"0,001"
144,95,"96,063",97,"0,001"
145,95,"96,205",97,"0,003"
146,96,"96,542",97,"0,007"
147,96,"96,9",97,"0,01"
148,96,"96,989",97,"0,004"
149,96,"96,995",97,0
150,96,"96,989",97,0
151,96,"96,995",97,0
152,97,97,97,0
